,carat,clarity,color,cut,x dimension,y dimension,z dimension,depth,table,price
0,0.5,IF,D,Ideal,5.1,5.15,3.2,61.5,57.0,3000.0
1,0.7,VVS2,E,Premium,5.7,5.56,3.52,62.0,59.0,4500.0
2,0.43,SI2,H,Good,4.3,4.31,4.3,62.3,56.0,700.0
3,1.2,IF,D,Ideal,7.26,6.82,4.2,61.7,58.0,10000.0
4,0.9,I1,J,Fair,6.0,6.48,3.7,61.7,57.0,2400.0
5,0.8,SI1,G,Very Good,5.9,5.92,3.63,62.4,57.0,4200.0
6,0.5,IF,D,Ideal,5.1,5.08,3.2,61.5,57.0,3100.0
7,0.4,VVS1,F,Good,4.8,4.79,2.95,62.4,57.0,1500.0
9,1.0,VVS1,F,Ideal,6.4,6.48,4.0,62.4,58.0,7500.0
11,0.4,VVS2,G,Very Good,4.9,4.88,2.9,61.2,56.0,1400.0
12,0.72,SI2,J,Fair,5.7,5.71,3.54,62.4,54.0,2000.0
13,1.1,VVS1,E,Premium,6.6,6.9,4.08,62.4,57.0,9200.0
14,0.55,SI2,H,Good,5.3,5.29,3.14,62.0,57.0,1800.0
16,0.5,SI1,G,Very Good,5.2,4.98,3.2,62.4,56.0,2300.0
18,0.6,SI2,H,Good,5.5,5.52,3.06,62.4,57.0,2200.0
19,0.7,I1,J,Fair,5.42,5.79,3.57,61.6,57.0,2100.0
20,0.9,VVS1,F,Ideal,6.1,6.15,3.9,61.8,57.0,6000.0
21,1.3,SI1,G,Premium,6.9,7.78,4.3,63.0,60.0,10500.0
22,1.4,IF,D,Good,7.1,7.12,5.46,62.4,59.0,11000.0
23,0.31,VVS2,E,Good,4.6,4.58,2.85,62.4,56.0,800.0
24,1.6,I1,I,Fair,7.3,7.28,4.5,62.4,54.0,3400.0
25,0.2,SI1,H,Very Good,3.9,3.89,2.41,62.1,57.0,500.0
26,0.35,IF,G,Ideal,4.5,4.52,3.31,61.9,56.0,1300.0
27,0.18,VVS2,G,Good,4.6,3.72,2.83,62.2,57.0,1600.0
28,0.55,I1,J,Premium,5.4,5.42,3.35,62.1,57.0,2500.0
29,1.1,VVS1,D,Ideal,6.7,6.71,4.15,62.4,58.0,7700.0
30,0.65,SI2,Colorless,Very Good,5.6,5.36,3.47,62.3,58.0,2900.0
31,1.5,VVS2,F,Good,7.2,7.18,6.0,62.7,59.0,10800.0
32,0.9,SI2,H,Fair,6.1,6.12,3.78,62.4,57.0,2600.0
33,0.98,VVS1,E,Premium,6.9,5.58,4.27,62.2,57.0,9300.0
34,0.45,SI2,I,Good,4.9,4.91,3.22,62.1,56.0,1700.0
35,0.6,VVS2,G,Good,5.5,5.49,3.09,62.4,58.0,2800.0
36,0.58,SI1,F,Very Good,5.3,5.31,3.3,62.0,57.0,2700.0
37,0.95,IF,D,Ideal,6.3,6.33,3.9,62.6,58.0,9400.0
38,1.05,SI2,J,Good,6.6,6.58,4.05,62.7,57.0,8500.0
39,0.64,I1,G,Fair,5.9,4.78,3.65,61.9,55.0,2200.0
40,0.45,SI2,H,Ideal,4.8,4.82,3.01,62.1,56.0,1500.0
41,0.74,IF,F,Premium,6.2,5.02,3.84,61.9,58.0,5900.0
42,0.85,VVS1,I,Good,5.8,5.82,4.21,62.2,55.0,4800.0
43,0.95,VVS2,D,Good,6.3,6.31,3.91,62.4,57.0,7300.0
44,1.16,SI1,E,Fair,6.0,6.01,6.0,62.4,54.0,2700.0
45,0.35,IF,G,Very Good,4.6,4.88,2.85,62.0,57.0,1400.0
46,0.55,VVS2,J,Ideal,5.4,4.98,3.35,62.3,56.0,2600.0
47,0.38,I1,D,Good,4.8,4.79,2.96,61.8,57.0,1200.0
48,1.05,VVS1,F,Premium,6.7,6.69,4.13,62.4,58.0,9500.0
49,0.75,SI2,G,Good,5.7,5.71,3.72,62.5,57.0,3800.0
50,0.65,SI1,Colorless,Very Good,5.6,5.58,3.48,62.6,57.0,3300.0
51,1.4,VVS2,H,Good,7.1,8.19,4.39,62.7,59.0,11200.0
52,0.3,I1,I,Fair,4.4,4.41,3.17,62.1,55.0,600.0
53,0.5,VVS1,E,Premium,5.2,5.22,2.96,62.4,58.0,2900.0
54,1.3,SI2,F,Good,6.9,7.82,4.26,62.3,57.0,9900.0
55,1.13,VVS2,D,Good,6.8,6.81,4.21,62.4,59.0,8100.0
56,0.4,SI1,J,Very Good,4.8,4.78,2.96,62.2,57.0,1400.0
57,1.15,IF,G,Ideal,6.5,7.41,4.02,62.0,58.0,9800.0
58,0.79,I1,H,Good,5.9,5.88,3.63,62.4,57.0,2100.0
59,0.55,SI2,I,Fair,5.3,5.14,3.29,62.1,54.0,1700.0
60,0.6,VVS2,D,Premium,5.6,5.58,3.48,62.4,57.0,3700.0
61,1.21,SI1,F,Very Good,6.1,6.12,6.11,62.1,59.0,5000.0
62,0.35,I1,G,Ideal,4.5,4.52,2.79,62.0,57.0,900.0
63,0.75,VVS1,H,Good,5.8,5.81,3.52,62.3,56.0,4600.0
64,0.63,SI2,E,Fair,5.9,4.77,3.64,62.2,54.0,2500.0
65,1.05,IF,I,Premium,6.6,6.59,4.09,62.4,58.0,9600.0
66,0.4,VVS2,J,Good,4.7,4.69,2.91,62.1,57.0,1800.0
67,0.55,I1,G,Very Good,5.3,5.15,3.28,62.4,57.0,2300.0
68,1.13,VVS1,H,Ideal,6.8,6.79,4.21,62.2,57.0,7900.0
69,0.7,SI2,D,Good,5.7,5.69,3.53,62.5,57.0,4000.0
70,0.9,SI1,Colorless,Premium,6.2,6.22,3.76,62.3,59.0,6600.0
71,0.5,VVS2,F,Good,5.2,4.96,3.22,62.6,58.0,3100.0
72,0.45,I1,I,Fair,4.8,4.81,2.98,62.4,54.0,1100.0
73,1.2,VVS1,E,Premium,6.8,7.28,4.2,62.7,58.0,10200.0
74,0.65,SI2,G,Good,5.6,5.59,3.47,62.4,57.0,3500.0
75,0.55,VVS2,D,Very Good,5.4,4.99,3.34,62.4,56.0,2800.0
76,1.3,SI1,H,Ideal,6.9,6.92,5.16,62.8,59.0,9900.0
77,0.75,IF,F,Good,5.9,5.58,3.65,62.5,57.0,4700.0
78,0.67,I1,E,Fair,6.0,4.86,3.71,62.6,55.0,2600.0
79,0.5,SI2,I,Very Good,5.1,5.11,3.17,62.1,56.0,2200.0
80,0.85,VVS2,E,Premium,6.0,6.03,3.73,62.4,58.0,6500.0
81,0.57,I1,G,Ideal,5.7,4.63,3.56,62.4,56.0,1900.0
82,1.1,SI2,H,Fair,6.6,6.58,4.4,62.5,54.0,7100.0
83,0.95,VVS1,D,Good,6.3,6.32,3.92,62.4,57.0,7800.0
84,0.9,SI1,I,Very Good,6.2,6.13,3.85,62.2,59.0,6700.0
85,0.5,VVS2,F,Premium,5.2,5.23,2.95,62.1,58.0,3200.0
86,0.5,I1,Colorless,Good,5.5,4.46,3.41,62.3,56.0,2400.0
87,1.15,VVS2,H,Fair,6.7,6.71,4.14,62.6,57.0,9200.0
88,1.08,SI2,E,Very Good,5.8,5.81,5.8,62.4,55.0,3000.0
89,0.7,SI1,I,Premium,5.7,5.68,3.53,62.7,58.0,4100.0
90,0.65,VVS1,D,Good,5.6,5.57,3.26,62.4,56.0,3600.0
91,1.25,IF,G,Ideal,6.8,7.62,4.21,62.4,59.0,10300.0
92,0.99,VVS2,D,Good,6.4,6.42,3.97,62.4,57.0,8000.0
93,0.75,SI1,I,Very Good,5.9,5.88,3.65,62.3,57.0,4400.0
94,1.4,VVS1,E,Premium,7.1,8.18,4.4,62.7,58.0,11500.0
95,1.12,I1,F,Good,5.9,5.89,5.9,62.8,55.0,2500.0
96,0.45,SI2,H,Ideal,4.8,4.79,2.97,62.4,56.0,1500.0
97,0.95,SI2,G,Very Good,6.3,6.31,3.92,62.4,56.0,6800.0
98,1.05,I1,Colorless,Premium,6.7,6.68,3.85,62.5,57.0,7300.0
99,0.65,SI2,I,Fair,5.6,5.59,3.46,62.4,56.0,3300.0
100,1.02,VVS2,E,Premium,6.5,6.51,4.03,62.3,57.0,7700.0
101,0.8,IF,F,Good,6.0,5.76,3.72,62.4,57.0,5900.0
102,1.15,SI1,G,Very Good,6.8,6.82,4.21,62.6,58.0,9300.0
103,0.81,VVS2,D,Fair,6.4,5.18,3.97,62.4,57.0,7900.0
104,0.7,SI2,H,Ideal,5.7,5.68,3.52,62.5,57.0,4200.0
105,1.3,I1,I,Premium,7.0,7.65,4.33,62.7,56.0,9800.0
106,0.4,VVS1,F,Good,4.8,4.77,2.96,62.4,55.0,2700.0
107,0.98,SI2,E,Good,5.6,5.58,5.59,62.2,59.0,2900.0
108,0.85,IF,D,Very Good,6.1,6.09,3.78,62.4,56.0,6500.0
109,1.2,VVS2,G,Fair,6.9,6.89,4.49,62.8,54.0,10100.0
110,0.5,SI1,H,Premium,5.1,5.12,3.16,62.3,57.0,3000.0
111,1.05,I1,I,Very Good,6.6,6.59,4.08,62.4,58.0,7400.0
112,0.45,VVS2,E,Good,4.9,5.11,3.02,62.4,55.0,2600.0
113,0.75,SI2,F,Ideal,5.8,5.77,3.59,62.4,56.0,4600.0
114,1.28,IF,G,Premium,6.3,6.28,6.29,62.5,57.0,7200.0
115,0.9,SI2,H,Premium,6.2,6.21,3.84,62.4,59.0,6800.0
116,1.1,VVS1,E,Very Good,6.7,6.73,4.15,62.2,56.0,9500.0
117,1.03,IF,I,Good,6.5,6.52,4.04,62.4,58.0,7600.0
118,0.45,SI1,F,Fair,4.9,4.88,3.25,62.5,54.0,2100.0
119,0.7,VVS2,G,Ideal,5.7,5.54,3.54,62.4,55.0,4300.0
120,0.61,I1,Colorless,Premium,5.4,5.41,3.35,62.4,56.0,2200.0
121,1.25,SI2,D,Good,6.9,7.47,4.26,62.4,58.0,10400.0
122,0.55,SI1,I,Fair,5.4,5.39,3.33,62.6,57.0,2800.0
123,0.77,VVS1,E,Premium,6.3,5.1,3.9,62.3,59.0,7800.0
124,0.65,I1,G,Very Good,5.6,5.57,3.47,62.4,56.0,3400.0
125,0.5,VVS1,I,Ideal,5.2,5.19,2.99,62.8,55.0,3200.0
126,0.85,SI2,F,Very Good,6.1,6.11,3.78,62.4,57.0,6400.0
127,0.53,I1,G,Good,5.6,4.53,3.46,62.4,59.0,2300.0
128,1.05,VVS2,E,Ideal,6.6,6.62,4.09,62.6,57.0,9300.0
129,0.4,SI1,F,Fair,4.7,5.06,2.92,62.1,56.0,2400.0
130,0.79,I1,H,Very Good,5.9,5.88,3.65,62.5,57.0,2600.0
131,0.75,SI2,I,Good,5.9,5.89,3.64,62.4,56.0,4500.0
132,0.95,VVS2,G,Ideal,6.4,6.41,3.97,62.4,58.0,6900.0
133,1.15,SI1,F,Very Good,6.9,6.88,4.27,62.4,56.0,9600.0
134,1.02,IF,I,Premium,6.5,6.52,4.03,62.6,57.0,7700.0
135,0.65,SI2,E,Good,5.6,5.58,3.47,62.4,56.0,3300.0
136,0.8,I1,G,Fair,6.1,6.08,3.3,62.5,57.0,4000.0
137,1.03,VVS2,H,Premium,6.5,6.53,4.04,62.7,58.0,7900.0
138,1.3,SI1,Colorless,Very Good,7.1,7.49,4.39,62.4,56.0,10300.0
139,0.7,VVS1,I,Fair,5.8,5.77,3.59,62.4,55.0,4300.0
140,0.4,SI2,F,Premium,4.8,4.78,3.1,62.4,58.0,2100.0
141,1.05,I1,G,Good,6.7,6.68,4.14,62.4,56.0,7400.0
142,0.85,VVS2,H,Fair,6.2,6.21,3.42,62.2,57.0,6500.0
143,0.72,SI1,I,Very Good,5.7,5.69,3.52,62.8,57.0,4100.0
144,0.45,VVS1,G,Ideal,4.9,5.1,3.03,62.1,59.0,2600.0
145,1.2,SI2,F,Premium,6.9,6.88,4.27,62.5,56.0,10100.0
146,0.5,VVS1,I,Fair,5.1,5.12,3.16,62.6,57.0,3200.0
147,0.6,SI1,G,Very Good,5.5,5.52,3.42,62.4,56.0,3500.0
148,1.4,VVS2,H,Good,7.2,8.03,4.45,62.7,58.0,12000.0
149,0.99,IF,I,Fair,6.4,6.41,3.97,62.4,55.0,8000.0
150,0.75,SI1,F,Premium,5.9,5.91,3.66,62.3,59.0,4600.0
151,1.1,VVS2,F,Fair,6.8,6.79,4.21,62.4,57.0,9400.0
152,0.4,SI1,I,Premium,4.7,4.69,3.29,62.2,55.0,2200.0
153,0.61,I1,G,Very Good,5.4,5.43,3.35,62.4,59.0,2400.0
154,0.75,VVS1,H,Good,5.9,5.89,3.34,62.7,56.0,4400.0
155,1.35,SI2,E,Ideal,7.2,7.67,4.46,62.8,57.0,10700.0
156,1.06,VVS1,I,Fair,6.6,6.61,4.09,62.6,55.0,7900.0
157,0.9,SI2,G,Premium,6.3,6.31,3.9,62.4,58.0,6900.0
158,0.6,IF,H,Very Good,5.5,5.49,3.41,62.4,56.0,3600.0
159,0.57,I1,I,Ideal,5.7,4.62,3.53,62.4,57.0,2500.0
160,0.85,VVS2,F,Premium,6.2,5.79,3.84,62.4,59.0,6600.0
161,1.25,SI2,G,Fair,6.9,6.91,4.82,62.3,58.0,10500.0
162,0.95,SI2,D,Good,6.4,6.38,3.96,62.4,56.0,7100.0
163,0.81,IF,I,Very Good,6.4,5.19,3.98,62.2,58.0,7600.0
164,0.45,VVS1,E,Premium,4.8,4.81,3.42,62.5,55.0,2500.0
165,1.3,SI1,G,Ideal,7.0,7.01,4.34,62.4,57.0,9900.0
166,1.42,VVS2,H,Fair,6.6,6.62,6.61,62.6,58.0,8100.0
167,0.7,SI2,I,Very Good,5.8,5.77,3.58,62.4,56.0,4200.0
168,0.55,VVS1,F,Good,5.4,5.38,2.95,62.4,59.0,3300.0
169,1.2,I1,G,Premium,6.8,6.81,4.21,62.7,57.0,10100.0
170,1.05,VVS2,F,Very Good,6.6,6.65,4.11,62.4,58.0,9200.0
171,0.35,SI1,I,Premium,4.5,4.49,3.34,62.3,56.0,2100.0
172,0.8,VVS1,H,Fair,6.0,6.01,3.72,62.4,58.0,4900.0
173,0.5,SI2,E,Premium,5.1,5.11,3.17,62.5,55.0,2900.0
174,1.35,I1,I,Ideal,7.1,7.12,4.4,62.4,56.0,9900.0
175,0.65,SI2,F,Very Good,5.5,5.52,3.41,62.4,57.0,3400.0
176,1.15,VVS1,G,Premium,6.8,6.85,4.23,62.7,57.0,9800.0
177,0.4,SI2,H,Fair,4.7,5.07,2.91,62.1,58.0,2000.0
178,0.95,SI1,G,Ideal,6.4,6.42,3.96,62.4,56.0,7100.0
179,0.45,SI1,F,Very Good,4.9,4.89,3.24,62.4,59.0,2300.0
180,1.25,VVS2,H,Good,6.9,7.46,4.27,62.4,55.0,10400.0
181,0.85,SI2,E,Fair,6.1,6.13,3.78,62.4,58.0,6300.0
182,0.99,VVS1,G,Very Good,6.4,6.43,3.97,62.5,57.0,7500.0
